t	x0	y0	z0
9.406270847231487098e-01	-2.722905179106334395e-02	-5.837009334179396602e-02	9.979235997519199097e-01
9.506337558372247587e-01	-2.538988559889992017e-02	-5.879110986173377573e-02	9.979473729162778861e-01
9.606404269513009186e-01	-2.354993567712945074e-02	-5.915686009072142204e-02	9.979708745418425231e-01
9.706470980653769676e-01	-2.171079063418468805e-02	-5.946765957439173467e-02	9.979941077154630413e-01
9.806537691794530165e-01	-1.987402033306559165e-02	-5.972386748800024431e-02	9.980170754892306872e-01
9.906604402935290654e-01	-1.804117475344003962e-02	-5.992588583235425315e-02	9.980397808808642024e-01
1.000667111407605114e+00	-1.621378288378733101e-02	-6.007415860195849944e-02	9.980622268740884095e-01
1.010673782521681163e+00	-1.439335164419997502e-02	-6.016917092640951953e-02	9.980844164190095791e-01
1.020680453635757212e+00	-1.258136484042551330e-02	-6.021144818608401700e-02	9.981063524324883529e-01
1.030687124749833261e+00	-1.077928214969648378e-02	-6.020155510317660302e-02	9.981280377985062291e-01
1.040693795863909310e+00	-8.988538138862973981e-03	-6.014009480915206290e-02	9.981494753685304921e-01
1.050700466977985359e+00	-7.210541315308295965e-03	-6.002770788968495030e-02	9.981706679618725930e-01
1.060707138092061408e+00	-5.446673211094595762e-03	-5.986507140816739458e-02	9.981916183660463071e-01
1.070713809206137457e+00	-3.698287500751231468e-03	-5.965289790887116916e-02	9.982123293371184536e-01
1.080720480320213506e+00	-1.966709153085088521e-03	-5.939193440085623055e-02	9.982328036000579496e-01
1.090727151434289555e+00	-2.532336173581629696e-04	-5.908296132372158754e-02	9.982530438490807567e-01
1.100733822548365604e+00	1.440873955855886263e-03	-5.872679149629776024e-02	9.982730527479912741e-01
1.110740493662441652e+00	3.114379458858060074e-03	-5.832426904938220469e-02	9.982928329305192916e-01
1.120747164776517701e+00	4.766080535808457294e-03	-5.787626834362041145e-02	9.983123870006539446e-01
1.130753835890593750e+00	6.394807256297318186e-03	-5.738369287363572629e-02	9.983317175329747828e-01
1.140760507004669799e+00	7.999422753324155616e-03	-5.684747415950982402e-02	9.983508270729772871e-01
1.150767178118745848e+00	9.578823825539326334e-03	-5.626857062671485055e-02	9.983697181373971663e-01
1.160773849232821897e+00	1.113194150363487796e-02	-5.564796647559495241e-02	9.983883932145298790e-01
1.170780520346897946e+00	1.265774158080386867e-02	-5.498667054149184580e-02	9.984068547645468250e-01
1.180787191460973995e+00	1.415522510721925822e-02	-5.428571514660458786e-02	9.984251052198084286e-01
1.190793862575050044e+00	1.562342884851521292e-02	-5.354615494466835601e-02	9.984431469851737795e-01
1.200800533689126093e+00	1.706142570828488372e-02	-5.276906575953087264e-02	9.984609824383059440e-01
1.210807204803202142e+00	1.846832511463979837e-02	-5.195554341869827730e-02	9.984786139299769436e-01
1.220813875917278191e+00	1.984327337090634191e-02	-5.110670258291389462e-02	9.984960437843652947e-01
1.230820547031354240e+00	2.118545397056514554e-02	-5.022367557282524098e-02	9.985132742993538812e-01
1.240827218145430288e+00	2.249408787656879613e-02	-4.930761119378459373e-02	9.985303077468224986e-01
1.250833889259506337e+00	2.376843376520245896e-02	-4.835967355981838495e-02	9.985471463729378439e-01
1.260840560373582386e+00	2.500778823468093395e-02	-4.738104091778948257e-02	9.985637923984406195e-01
1.270847231487658435e+00	2.621148597870374269e-02	-4.637290447276463251e-02	9.985802480189301944e-01
1.280853902601734484e+00	2.737889992521767152e-02	-4.533646721558655390e-02	9.985965154051434922e-01
1.290860573715810533e+00	2.850944134066348695e-02	-4.427294275363722470e-02	9.986125967032343231e-01
1.300867244829886582e+00	2.960255990001001841e-02	-4.318355414576443424e-02	9.986284940350470540e-01
1.310873915943962631e+00	3.065774372290509461e-02	-4.206953274232936441e-02	9.986442094983892792e-01
1.320880587058038680e+00	3.167451937629813669e-02	-4.093211703131727913e-02	9.986597451672993841e-01
1.330887258172114729e+00	3.265245184391429856e-02	-3.977255149143764379e-02	9.986751030923129990e-01
1.340893929286190778e+00	3.359114446298425150e-02	-3.859208545312334954e-02	9.986902853007261216e-01
1.350900600400266827e+00	3.449023882865732277e-02	-3.739197196832129422e-02	9.987052937968551314e-01
1.360907271514342876e+00	3.534941466654881181e-02	-3.617346668994901593e-02	9.987201305622931402e-01
1.370913942628418924e+00	3.616838967389474774e-02	-3.493782676187371511e-02	9.987347975561653435e-01
1.380920613742494973e+00	3.694691932980881388e-02	-3.368630972025098147e-02	9.987492967153809298e-01
1.390927284856571022e+00	3.768479667515740872e-02	-3.242017240704125197e-02	9.987636299548807717e-01
1.400933955970647071e+00	3.838185206258919180e-02	-3.114066989650227449e-02	9.987777991678844502e-01
1.410940627084723120e+00	3.903795287727483687e-02	-2.984905443543527104e-02	9.987918062261335050e-01
1.420947298198799169e+00	3.965300322893197671e-02	-2.854657439794202126e-02	9.988056529801327965e-01
1.430953969312875218e+00	4.022694361572825422e-02	-2.723447325542860745e-02	9.988193412593873166e-01
1.440960640426951267e+00	4.075975056067325519e-02	-2.591398856257033992e-02	9.988328728726397765e-01
1.450967311541027316e+00	4.125143622112637659e-02	-2.458635095992998607e-02	9.988462496081013109e-01
1.460973982655103365e+00	4.170204797206438635e-02	-2.325278319389968706e-02	9.988594732336842918e-01
1.470980653769179414e+00	4.211166796376692584e-02	-2.191449915461372161e-02	9.988725454972281481e-01
1.480987324883255463e+00	4.248041265459357591e-02	-2.057270293245692591e-02	9.988854681267258506e-01
1.490993995997331512e+00	4.280843231953935374e-02	-1.922858789377001817e-02	9.988982428305472894e-01
1.501000667111407560e+00	4.309591053526868470e-02	-1.788333577632970212e-02	9.989108712976584314e-01
1.511007338225483609e+00	4.334306364234045278e-02	-1.653811580515791510e-02	9.989233551978404790e-01
1.521014009339559658e+00	4.355014018534793252e-02	-1.519408382919048249e-02	9.989356961819054748e-01
1.531020680453635707e+00	4.371742033170829267e-02	-1.385238147931145553e-02	9.989478958819086873e-01
1.541027351567711756e+00	4.384521526984663797e-02	-1.251413534823528351e-02	9.989599559113603311e-01
1.551034022681787805e+00	4.393386658752844454e-02	-1.118045619269442646e-02	9.989718778654343989e-01
1.561040693795863854e+00	4.398374563110297314e-02	-9.852438158365632928e-03	9.989836633211746086e-01
1.571047364909939903e+00	4.399525284642799572e-02	-8.531158027943521252e-03	9.989953138376981290e-01
1.581054036024015952e+00	4.396881710225315765e-02	-7.217674492745444585e-03	9.990068309563981952e-01
1.591060707138092001e+00	4.390489499684539082e-02	-5.913027448206891259e-03	9.990182162011426170e-01
1.601067378252168050e+00	4.380397014864568367e-02	-4.618237313602015746e-03	9.990294710784721754e-01
1.611074049366244099e+00	4.366655247175068449e-02	-3.334304376299084514e-03	9.990405970777954670e-01
1.621080720480320148e+00	4.349317743701727051e-02	-2.062208160835956802e-03	9.990515956715818602e-01
1.631087391594396196e+00	4.328440531959094895e-02	-8.029068230760438851e-04	9.990624683155517882e-01
1.641094062708472245e+00	4.304082043366198873e-02	4.426634303194557822e-04	9.990732164488671518e-01
1.651100733822548294e+00	4.276303035525445134e-02	1.673588896891779320e-03	9.990838414943161716e-01
1.661107404936624343e+00	4.245166513385505852e-02	2.888978907670441357e-03	9.990943448584994613e-01
1.671114076050700392e+00	4.210737649368859192e-02	4.087966330582198070e-03	9.991047279320116603e-01
1.681120747164776441e+00	4.173083702544674867e-02	5.269708047844812865e-03	9.991149920896224002e-01
1.691127418278852490e+00	4.132273936927605834e-02	6.433385407231326583e-03	9.991251386904551612e-01
1.701134089392928539e+00	4.088379538982881561e-02	7.578204647114390562e-03	9.991351690781627992e-01
1.711140760507004588e+00	4.041473534417894253e-02	8.703397295223878199e-03	9.991450845811039594e-01
