 t	x0	y0	z0	n
1.212424849699398788e+00	6.944396602359149684e-01	6.756392357346407973e-02	7.163718828393434990e-01	0.000000000000000000e+00
1.222444889779559007e+00	6.951354506029205904e-01	5.906135310357616547e-02	7.164485060942268335e-01	0.000000000000000000e+00
1.232464929859719449e+00	6.957271742497442846e-01	5.055133247433270943e-02	7.165251299120883877e-01	0.000000000000000000e+00
1.242484969939879669e+00	6.962147464389178975e-01	4.203513525190053640e-02	7.166017542857033851e-01	0.000000000000000000e+00
1.252505010020040110e+00	6.965980980193929861e-01	3.351403604138435133e-02	7.166783792078429416e-01	0.000000000000000000e+00
1.262525050100200330e+00	6.968771754402687257e-01	2.498931029605293633e-02	7.167550046712758416e-01	0.000000000000000000e+00
1.272545090180360772e+00	6.970519407621820207e-01	1.646223412637267541e-02	7.168316306687672057e-01	0.000000000000000000e+00
1.282565130260520991e+00	6.971223716663629277e-01	7.934084108877239791e-03	7.169082571930793790e-01	0.000000000000000000e+00
1.292585170340681211e+00	6.970884614613458430e-01	-5.938629050980927335e-04	7.169848842369715980e-01	0.000000000000000000e+00
1.302605210420841653e+00	6.969502190873407832e-01	-9.120329980788712335e-03	7.170615117931997684e-01	0.000000000000000000e+00
1.312625250501001872e+00	6.967076691182586545e-01	-1.764404029145090133e-02	7.171381398545169095e-01	0.000000000000000000e+00
1.322645290581162314e+00	6.963608517613919524e-01	-2.616371730986125771e-02	7.172147684136728207e-01	0.000000000000000000e+00
1.332665330661322534e+00	6.959098228547477838e-01	-3.467808499983657256e-02	7.172913974634140821e-01	0.000000000000000000e+00
1.342685370741482975e+00	6.953546538620336559e-01	-4.318586800774541767e-02	7.173680269964847200e-01	0.000000000000000000e+00
1.352705410821643195e+00	6.946954318652946991e-01	-5.168579185398258086e-02	7.174446570056246530e-01	0.000000000000000000e+00
1.362725450901803637e+00	6.939322595552049888e-01	-6.017658312437766666e-02	7.175212874835718013e-01	0.000000000000000000e+00
1.372745490981963856e+00	6.930652552190085247e-01	-6.865696966150891534e-02	7.175979184230604213e-01	0.000000000000000000e+00
1.382765531062124298e+00	6.920945527261158636e-01	-7.712568075589347483e-02	7.176745498168216608e-01	0.000000000000000000e+00
1.392785571142284518e+00	6.910203015113535185e-01	-8.558144733702550966e-02	7.177511816575836701e-01	0.000000000000000000e+00
1.402805611222444737e+00	6.898426665558701210e-01	-9.402300216423299661e-02	7.178278139380718237e-01	0.000000000000000000e+00
1.412825651302605179e+00	6.885618283656987915e-01	-1.024490800173246535e-01	7.179044466510079436e-01	0.000000000000000000e+00
1.422845691382765398e+00	6.871779829479798263e-01	-1.108584178869981701e-01	7.179810797891107432e-01	0.000000000000000000e+00
1.432865731462925840e+00	6.856913417848466974e-01	-1.192497551649810694e-01	7.180577133450964933e-01	0.000000000000000000e+00
