t	x0	y0	z0	analytical_x0	analytical_y0	analytical_z0
1.370913942628418924e+00	9.330205884735355559e-02	-4.942294661382257148e-02	9.944104274206159166e-01	9.757837177914238658e-02	-5.170670471177771926e-02	9.938837346736189016e-01
1.380920613742494973e+00	9.251867833945207065e-02	-5.080242191975231636e-02	9.944141029196079673e-01	9.679062913679024882e-02	-5.316668188371208303e-02	9.938837346736189016e-01
1.390927284856571022e+00	9.171492313430135157e-02	-5.216952721551093575e-02	9.944177760401204935e-01	9.598104376393568060e-02	-5.461466093646439451e-02	9.938837346736189016e-01
1.400933955970647071e+00	9.089098789886115859e-02	-5.352396188153116935e-02	9.944214467836429705e-01	9.514979835961971666e-02	-5.605031510476293083e-02	9.938837346736189016e-01
1.410940627084723120e+00	9.004707173092141304e-02	-5.486542835235958676e-02	9.944251151516629861e-01	9.429708051090014698e-02	-5.747332040469144143e-02	9.938837346736189016e-01
1.420947298198799169e+00	8.918337811131933635e-02	-5.619363218189251524e-02	9.944287811456682391e-01	9.342308265051903204e-02	-5.888335570680220538e-02	9.938837346736189016e-01
1.430953969312875218e+00	8.830011485519681513e-02	-5.750828210786609884e-02	9.944324447671450962e-01	9.252800201347619047e-02	-6.028010280858562414e-02	9.938837346736189016e-01
1.440960640426951267e+00	8.739749406231012152e-02	-5.880909011558664579e-02	9.944361060175788136e-01	9.161204059251933096e-02	-6.166324650627874604e-02	9.938837346736189016e-01
1.450967311541027316e+00	8.647573206640361831e-02	-6.009577150088723368e-02	9.944397648984540927e-01	9.067540509256037662e-02	-6.303247466599722071e-02	9.938837346736189016e-01
1.460973982655103365e+00	8.553504938365949495e-02	-6.136804493229690988e-02	9.944434214112548576e-01	8.971830688402832044e-02	-6.438747829417473811e-02	9.938837346736189016e-01
1.470980653769179414e+00	8.457567066023569113e-02	-6.262563251240882423e-02	9.944470755574638110e-01	8.874096195516935348e-02	-6.572795160729330566e-02	9.938837346736189016e-01
1.480987324883255463e+00	8.359782461890456762e-02	-6.386825983843411048e-02	9.944507273385631008e-01	8.774359086330474344e-02	-6.705359210088965294e-02	9.938837346736189016e-01
1.490993995997331512e+00	8.260174400480481405e-02	-6.509565606192821430e-02	9.944543767560337644e-01	8.672641868505781559e-02	-6.836410061782105529e-02	9.938837346736189016e-01
1.501000667111407560e+00	8.158766553031950031e-02	-6.630755394767674782e-02	9.944580238113565063e-01	8.568967496556073593e-02	-6.965918141577648326e-02	9.938837346736189016e-01
1.511007338225483609e+00	8.055582981909310825e-02	-6.750368993172806142e-02	9.944616685060105876e-01	8.463359366665332284e-02	-7.093854223401638293e-02	9.938837346736189016e-01
1.521014009339559658e+00	7.950648134920097754e-02	-6.868380417856011222e-02	9.944653108414743814e-01	8.355841311408472583e-02	-7.220189435932730659e-02	9.938837346736189016e-01
1.531020680453635707e+00	7.843986839548440504e-02	-6.984764063736909057e-02	9.944689508192260385e-01	8.246437594373050295e-02	-7.344895269117585057e-02	9.938837346736189016e-01
1.541027351567711756e+00	7.735624297106470648e-02	-7.099494709746767551e-02	9.944725884407420446e-01	8.135172904683717066e-02	-7.467943580604700926e-02	9.938837346736189016e-01
1.551034022681787805e+00	7.625586076805054847e-02	-7.212547524278109523e-02	9.944762237074984412e-01	8.022072351430603598e-02	-7.589306602095328980e-02	9.938837346736189016e-01
1.561040693795863854e+00	7.513898109745179021e-02	-7.323898070542908534e-02	9.944798566209707147e-01	7.907161458002974486e-02	-7.708956945609914124e-02	9.938837346736189016e-01
1.571047364909939903e+00	7.400586682831437890e-02	-7.433522311838230978e-02	9.944834871826330192e-01	7.790466156329355074e-02	-7.826867609668762549e-02	9.938837346736189016e-01
1.581054036024015952e+00	7.285678432609030142e-02	-7.541396616718194779e-02	9.944871153939586206e-01	7.672012781025489003e-02	-7.943011985385431406e-02	9.938837346736189016e-01
1.591060707138092001e+00	7.169200339025708080e-02	-7.647497764071130300e-02	9.944907412564202298e-01	7.551828063451390682e-02	-8.057363862471590699e-02	9.938837346736189016e-01
1.601067378252168050e+00	7.051179719120133360e-02	-7.751802948100861013e-02	9.944943647714894475e-01	7.429939125678891587e-02	-8.169897435151866893e-02	9.938837346736189016e-01
1.611074049366244099e+00	6.931644220638122356e-02	-7.854289783211042264e-02	9.944979859406373190e-01	7.306373474371016807e-02	-8.280587307987438694e-02	9.938837346736189016e-01
1.621080720480320148e+00	6.810621815578235538e-02	-7.954936308791490940e-02	9.945016047653336688e-01	7.181158994574537990e-02	-8.389408501607029112e-02	9.938837346736189016e-01
1.631087391594396196e+00	6.688140793668265194e-02	-8.053720993905541525e-02	9.945052212470479880e-01	7.054323943427175114e-02	-8.496336458343980991e-02	9.938837346736189016e-01
