t	Mz
5.312124849939976023e+00	9.919606446055368565e+00
5.322128851540616878e+00	9.919824787613832129e+00
5.332132853141256845e+00	9.920042594302728389e+00
5.342136854741896812e+00	9.920259867124364916e+00
5.352140856342537667e+00	9.920476607080793485e+00
5.362144857943177634e+00	9.920692815173797641e+00
5.372148859543817601e+00	9.920908492404894474e+00
5.382152861144457567e+00	9.921123639775316860e+00
5.392156862745098422e+00	9.921338258286002798e+00
5.402160864345738389e+00	9.921552348937593635e+00
5.412164865946378356e+00	9.921765912730414527e+00
5.422168867547019211e+00	9.921978950664474439e+00
5.432172869147659178e+00	9.922191463739450157e+00
5.442176870748299145e+00	9.922403452954680958e+00
5.452180872348939999e+00	9.922614919309156178e+00
5.462184873949579966e+00	9.922825863801509882e+00
5.472188875550219933e+00	9.923036287430010205e+00
5.482192877150860788e+00	9.923246191192546917e+00
5.492196878751500755e+00	9.923455576086626095e+00
5.502200880352140722e+00	9.923664443109363020e+00
5.512204881952781577e+00	9.923872793257469738e+00
5.522208883553421543e+00	9.924080627527242626e+00
5.532212885154061510e+00	9.924287946914564174e+00
5.542216886754702365e+00	9.924494752414885212e+00
5.552220888355342332e+00	9.924701045023217816e+00
5.562224889955982299e+00	9.924906825734129967e+00
5.572228891556623154e+00	9.925112095541734902e+00
5.582232893157263121e+00	9.925316855439680452e+00
5.592236894757903087e+00	9.925521106421145490e+00
5.602240896358543942e+00	9.925724849478827494e+00
5.612244897959183909e+00	9.925928085604931894e+00
5.622248899559823876e+00	9.926130815791173845e+00
5.632252901160464731e+00	9.926333041028755133e+00
5.642256902761104698e+00	9.926534762308373061e+00
5.652260904361744664e+00	9.926735980620193800e+00
5.662264905962385519e+00	9.926936696953859496e+00
5.672268907563025486e+00	9.927136912298472282e+00
5.682272909163665453e+00	9.927336627642588951e+00
5.692276910764306308e+00	9.927535843974210295e+00
5.702280912364946275e+00	9.927734562280777553e+00
5.712284913965586242e+00	9.927932783549159979e+00
5.722288915566227097e+00	9.928130508765651285e+00
5.732292917166867063e+00	9.928327738915953660e+00
5.742296918767507030e+00	9.928524474985181314e+00
5.752300920368147885e+00	9.928720717957848052e+00
5.762304921968787852e+00	9.928916468817856611e+00
5.772308923569427819e+00	9.929111728548488003e+00
5.782312925170068674e+00	9.929306498132408620e+00
5.792316926770708641e+00	9.929500778551648921e+00
